AAHO01000060|c1|11460-16796||BMAGB8_A1357|polyketide_synthase|EEP84584|777-1201|KS1|KS1	Clade_8
AAHO01000060|c1|1-3276||BMAGB8_A1355|putative_polyketide_synthase_PksL_PKS|EEP84582|868-1092|KS1|KS4	Clade_82
AAHO01000060|c1|3266-11437||BMAGB8_A1356|putative_polyketide_synthase_PksL_PKS|EEP84583|2181-2612|KS2|KS3	Clade_54
AAHO01000060|c1|3266-11437||BMAGB8_A1356|putative_polyketide_synthase_PksL_PKS|EEP84583|1336-1765|KS1|KS2	Clade_60
AAHO01000060|c1|26048-27292|+|BMAGB8_A1369|polyketide_beta-ketoacyl_synthase_PksF|EEP84596|9-414|KS1|KS1b	Clade_89
AAHO01000085|c1|1102-13416|+|BMAGB8_A1646|polyketide_synthase_type_I|EEP83891|190-612|KS1|KS1	clade_not_conserved
AAHO01000085|c1|1102-13416|+|BMAGB8_A1646|polyketide_synthase_type_I|EEP83891|2159-2571|KS2|KS2	Clade_47
AAYX01000003|c1|13861-31596||BURPS305_5015|Putative_polyketide_synthase_pksL|EBA49836|5161-5551|KS4|KS7	Clade_80
AAYX01000003|c1|13861-31596||BURPS305_5015|Putative_polyketide_synthase_pksL|EBA49836|873-1294|KS1|KS4	Clade_82
AAYX01000003|c1|13861-31596||BURPS305_5015|Putative_polyketide_synthase_pksL|EBA49836|2367-2796|KS2|KS5	Clade_62
AAYX01000003|c1|31586-45205||BURPS305_5016|polyketide_synthase_type_I|EBA49894|3146-3575|KS2|KS2	Clade_60
AAYX01000003|c1|13861-31596||BURPS305_5015|Putative_polyketide_synthase_pksL|EBA49836|3432-3853|KS3|KS6	Clade_82
AAYX01000003|c1|53098-54342|+|BURPS305_5029|Putative_polyketide_beta-ketoacyl_synthase|EBA49874|9-414|KS1|KS1b	Clade_89
AAYX01000003|c1|31586-45205||BURPS305_5016|polyketide_synthase_type_I|EBA49894|3997-4428|KS3|KS3	Clade_54
AAYX01000003|c1|31586-45205||BURPS305_5016|polyketide_synthase_type_I|EBA49894|794-1218|KS1|KS1	Clade_8
AAYX01000006|c1|7046-19423|+|BURPS305_3334|polyketide_synthase|EBA47776|2177-2589|KS2|KS2	Clade_47
AAYX01000006|c1|7046-19423|+|BURPS305_3334|polyketide_synthase|EBA47776|171-593|KS1|KS1	clade_not_conserved
AB283030|c1|37068-57962||no_locus_tag|hybrid_polyketide_synthase-non_ribosomal_peptide_synthetase|BAF50727|18-443|KS1|KS1	Clade_9
AB283030|c1|26368-29991||no_locus_tag|hybrid_non_ribosomal_peptide_synthetase-polyketide_synthase|BAF50721|478-900|KS1|KS7	Clade_51
AB283030|c1|35429-36769||no_locus_tag|alpha-ketoacyl-acyl_carrier_protein|BAF50726|13-430|KS1|KS5	Clade_33
AB283030|c1|18576-26345||no_locus_tag|hybrid_non_ribosomal_peptide_synthetase-polyketide_synthase|BAF50720|1907-2343|KS1|KS8	Clade_75
AB283030|c1|29985-32228||no_locus_tag|polyketide_synthase|BAF50722|1-395|KS1|KS6	Clade_81
AB283030|c1|37068-57962||no_locus_tag|hybrid_polyketide_synthase-non_ribosomal_peptide_synthetase|BAF50727|4554-4971|KS3|KS3	Clade_2
AB283030|c1|37068-57962||no_locus_tag|hybrid_polyketide_synthase-non_ribosomal_peptide_synthetase|BAF50727|6005-6439|KS4|KS4	Clade_66
AB283030|c1|37068-57962||no_locus_tag|hybrid_polyketide_synthase-non_ribosomal_peptide_synthetase|BAF50727|1931-2364|KS2|KS2	Clade_48
ABCS01000005|c1|168739-181010||PPSIR1_30420|nonribosomal_peptide_synthase|EDM81218|2415-2852|KS2|KS2	clade_not_conserved
ABCS01000005|c1|168739-181010||PPSIR1_30420|nonribosomal_peptide_synthase|EDM81218|840-1269|KS1|KS1	clade_not_conserved
ABCS01000005|c1|161498-168742||PPSIR1_30415|non-ribosomal_peptide_synthase_polyketide_synthase_Ta1|EDM81217|30-467|KS1|KS3	Clade_48
ABCS01000005|c1|161498-168742||PPSIR1_30415|non-ribosomal_peptide_synthase_polyketide_synthase_Ta1|EDM81217|1458-1867|KS2|KS4	clade_not_conserved
ABCS01000133|c1|17504-23154||PPSIR1_30439|polyketide_synthase_of_type_I|EDM74392|1420-1837|KS2|KS2	Clade_4
ABCS01000133|c1|1-4210||PPSIR1_30429|mixed_type_I_polyketide_synthase_-_peptide_synthetase|EDM74390|407-836|KS1|KS5	Clade_91
ABCS01000133|c1|17504-23154||PPSIR1_30439|polyketide_synthase_of_type_I|EDM74392|127-559|KS1|KS1	Clade_66
ABCS01000133|c1|4212-17585||PPSIR1_30434|polyketide_synthase|EDM74391|947-1367|KS1|KS3	Clade_66
ABCS01000133|c1|4212-17585||PPSIR1_30434|polyketide_synthase|EDM74391|2474-2912|KS2|KS4	Clade_48
ABIB01000015|c1|52793-59740|+|KAOT1_04320|polyketide_synthase|EDP94611|165-590|KS1|KS10	Clade_82
ABIB01000015|c1|59772-63803|+|KAOT1_04325|polyketide_synthase_of_type_I|EDP94612|779-1194|KS1|KS12	Clade_12
ABIB01000015|c1|12664-24390|+|KAOT1_04300|polyketide_synthase_of_type_I|EDP94607|3186-3608|KS3|KS4	Clade_82
ABIB01000015|c1|36764-46588|+|KAOT1_04310|polyketide_synthase_of_type_I|EDP94609|614-1033|KS1|KS7	Clade_62
ABIB01000015|c1|12664-24390|+|KAOT1_04300|polyketide_synthase_of_type_I|EDP94607|524-942|KS1|KS2	Clade_8
ABIB01000015|c1|46648-52725|+|KAOT1_04315|polyketide_synthase_of_type_I|EDP94610|925-1344|KS1|KS9	Clade_62
ABIB01000015|c1|68951-70228|+|KAOT1_04360|beta-ketoacyl-ACP_synthase|EDP94619|7-425|KS1|KS13	Clade_33
ABIB01000015|c1|36764-46588|+|KAOT1_04310|polyketide_synthase_of_type_I|EDP94609|2564-2986|KS2|KS8	Clade_87
ABIB01000015|c1|24579-36755|+|KAOT1_04305|polyketide_synthase|EDP94608|3105-3527|KS2|KS6	Clade_87
ABIB01000015|c1|24579-36755|+|KAOT1_04305|polyketide_synthase|EDP94608|1141-1558|KS1|KS5	Clade_47
ABIB01000015|c1|52793-59740|+|KAOT1_04320|polyketide_synthase|EDP94611|1410-1842|KS2|KS11	clade_not_conserved
ABIB01000015|c1|1790-5536|+|KAOT1_04270|polyketide_synthase_of_type_I|EDP94601|210-642|KS1|KS1	Clade_36
ABIB01000015|c1|12664-24390|+|KAOT1_04300|polyketide_synthase_of_type_I|EDP94607|1686-2119|KS2|KS3	Clade_54
ABIB01000020|c1|45531-56099|+|KAOT1_04255|keto-hydroxyglutarate-aldolase_keto-deoxy-_phosphogluconate_aldolase|EDP94334|1019-1443|KS1|KS1	clade_not_conserved
ABIB01000020|c1|45531-56099|+|KAOT1_04255|keto-hydroxyglutarate-aldolase_keto-deoxy-_phosphogluconate_aldolase|EDP94334|2583-3019|KS2|KS2	Clade_26
ACCE01000001|c3|433488-448658||BUC_5633|non-ribosomal_peptide_synthase|EEC37856|1175-1600|KS1|KS8	clade_not_conserved
ACCE01000001|c3|466352-479995||BUC_5628|beta-ketoacyl_synthase|EEC38036|4005-4436|KS3|KS3	Clade_54
ACCE01000001|c3|466352-479995||BUC_5628|beta-ketoacyl_synthase|EEC38036|810-1234|KS1|KS1	Clade_8
ACCE01000001|c3|457858-466362||BUC_5629|KR_domain_protein|EEC38218|2380-2829|KS2|KS5	Clade_62
ACCE01000001|c3|448655-456361||BUC_5632|methyltransferase_family_protein|EEC38436|1830-2220|KS2|KS7	Clade_80
ACCE01000001|c3|457858-466362||BUC_5629|KR_domain_protein|EEC38218|874-1295|KS1|KS4	Clade_82
ACCE01000001|c3|448655-456361||BUC_5632|methyltransferase_family_protein|EEC38436|106-527|KS1|KS6	Clade_82
ACCE01000001|c3|433488-448658||BUC_5633|non-ribosomal_peptide_synthase|EEC37856|2744-3182|KS2|KS9	Clade_12
ACCE01000001|c3|487831-489075|+|BUC_5616|putative_polyketide_beta-ketoacyl_synthase|EEC38677|9-414|KS1|KS1b	Clade_89
ACCE01000001|c3|466352-479995||BUC_5628|beta-ketoacyl_synthase|EEC38036|3162-3591|KS2|KS2	Clade_60
ACCE01000001|c3|428831-433504||BUC_5634|polyketide_synthase_type_I|EEC38233|952-1380|KS1|KS10	Clade_60
